A.Parc.;Parc;n;DAP ;Ht;Hdom
720;262;51;;;
720;262;52;;;
720;262;53;;;
720;262;54;;;
720;262;55;;;
720;262;56;;;
720;262;57;;;
720;262;58;;;
720;262;59;;;
720;262;60;;;
560;171;1;;;
560;171;2;;;
560;171;3;;;
560;171;4;;;
560;171;5;;;
560;171;6;;;
560;171;7;;;
560;171;8;;;
560;171;9;;;
560;171;10;;;
560;171;11;16,97;13,53;
560;171;12;16,30;13,25;
560;171;13;17,44;13,73;
560;171;14;16,07;13,15;
560;171;15;13,56;12,02;
560;171;16;;;
560;171;17;17,54;13,77;
560;171;18;13,69;12,08;
560;171;19;11,40;10,97;
560;171;20;18,68;14,24;
560;171;21;14,74;12,56;
560;171;22;;;
560;171;23;;;
560;171;24;17,44;13,73;
560;171;25;15,50;12,90;
560;171;26;20,34;14,89;
560;171;27;;;
560;171;28;14,90;12,63;
560;171;29;16,07;13,15;
560;171;30;;;
560;171;31;15,37;12,84;
560;171;32;15,37;12,84;
560;171;33;;;
560;171;34;19,86;14,70;
560;171;35;10,50;10,50;
560;171;36;;;
560;171;37;19,74;14,65;
